1	1	1058	NOTAL
1	1059	16759510	SYN
1	8977189	8977669	INVDP
1	11330552	11334384	INVDP
1	16759511	16759729	NOTAL
1	16759730	16764363	TRANS
1	16764364	16775853	NOTAL
1	16775854	43269923	SYN
1	43269924	43270923	NOTAL
1	16094994	17703993	CentroMiner
2	1	35936250	SYN
2	3	355	DUP
2	19408260	19419818	DUP
2	35936251	35937250	NOTAL
2	13272924	14346945	CentroMiner
3	1	1095	NOTAL
3	1096	388286	SYN
3	400831	14254701	SYN
3	11401666	11402246	DUP
3	14249524	14262787	INVDP
3	14255237	16345488	SYN
3	16345489	16363810	NOTAL
3	16386426	16387822	NOTAL
3	16387823	31111986	SYN
3	31111987	31113090	NOTAL
3	31123501	31124525	NOTAL
3	31124526	36413808	SYN
3	36054136	36055464	INVDP
3	36171648	36172480	DUP
3	36413809	36413819	NOTAL
3	19951905	20490878	CentroMiner
4	1	1000	NOTAL
4	1001	1472	DUP
4	1001	1751	INVDP
4	1001	1758	DUP
4	1001	1845	INVDP
4	1001	35502294	SYN
4	17116728	17121227	INVDP
4	17116728	17121227	TRANS
4	16737183	16737472	NOTAL
4	16774973	25655344	SYN
4	25675337	32445107	SYN
4	32445108	32525436	NOTAL
4	32532185	35502694	SYN
4	9884805	10256075	CentroMiner
5	1	1346411	SYN
5	1359889	1385026	SYN
5	1385027	1385886	NOTAL
5	1389948	1390659	NOTAL
5	1390660	27174269	SYN
5	12738572	12741169	INVDP
5	27128091	27174269	INVDP
5	27174270	27175269	NOTAL
5	27175270	29957434	SYN
5	29700843	29709362	INVDP
5	29843989	29845340	INVDP
5	29848614	29850606	INVDP
5	29957435	29958434	NOTAL
5	12426342	12673047	CentroMiner
6	1	1000	NOTAL
6	1001	38877	SYN
6	34029	36841	DUP
6	42011	10304780	SYN
6	51689	57472	DUP
6	51689	58533	DUP
6	52650	63011	DUP
6	54748	56958	DUP
6	54865	56779	DUP
6	54865	57384	DUP
6	54865	57409	DUP
6	54865	57472	DUP
6	54910	57409	DUP
6	55165	56783	DUP
6	55573	57118	DUP
6	55927	56761	DUP
6	55972	57118	DUP
6	56072	56779	DUP
6	68520	69319	DUP
6	68657	69188	DUP
6	76842	78158	DUP
6	82676	84583	DUP
6	82829	84696	DUP
6	83854	84690	DUP
6	83854	84696	DUP
6	83854	84696	DUP
6	83854	84696	DUP
6	83899	84690	DUP
6	10304781	10304854	NOTAL
6	10305745	31247787	SYN
6	19118514	19129744	INVDP
6	21384869	21395111	DUP
6	21465074	21475543	DUP
6	31247788	31248787	NOTAL
6	15515611	16365241	CentroMiner
7	1	1000	NOTAL
7	1001	29697602	SYN
