seq_id	GCtotal	GC1	GC2	GC3 
sl01g00001	46.666666666666664	46.45161290322581	49.67741935483871	43.87096774193548
sl01g00002	47.5	49.666666666666664	43.333333333333336	49.5
sl01g00003	47.34299516908212	53.6231884057971	47.82608695652174	40.57971014492754
sl01g00004	46.73202614379085	47.05882352941177	50.98039215686274	42.15686274509804
sl01g00005	48.958333333333336	50.625	53.125	43.125
sl01g00006	40.41237113402062	49.896907216494846	33.81443298969072	37.52577319587629
sl01g00007	39.03345724907063	41.2639405204461	41.2639405204461	34.572490706319705
sl01g00008	42.3900462962963	51.99652777777778	39.84375	35.329861111111114
sl01g00009	42.52376836646499	50.648228176318064	38.28867761452031	38.63439930855661
sl01g00010	31.086142322097377	38.20224719101124	31.46067415730337	23.59550561797753
sl01g00011	34.72222222222222	43.05555555555556	20.833333333333332	40.27777777777778
sl01g00012	36.666666666666664	44.705882352941174	41.76470588235294	23.529411764705884
sl01g00013	34.753550543024225	47.11779448621554	30.827067669172934	26.31578947368421
sl01g00014	42.08194905869325	49.33554817275748	37.87375415282392	39.03654485049834
sl01g00015	34.19047619047619	40.285714285714285	38.285714285714285	24.0
sl01g00016	39.867659222497934	47.89081885856079	35.732009925558316	35.98014888337469
sl01g00017	42.592592592592595	50.0	34.44444444444444	43.333333333333336
sl01g00018	39.77844914400806	44.71299093655589	37.16012084592145	37.46223564954683
sl01g00019	48.80952380952381	53.17460317460318	45.63492063492063	47.61904761904762
sl01g00020	36.786786786786784	38.73873873873874	36.486486486486484	35.13513513513514
sl01g00021	34.96296296296296	40.888888888888886	35.111111111111114	28.88888888888889
sl01g00022	35.0480109739369	38.68312757201646	35.59670781893004	30.864197530864196
sl01g00023	43.46764346764347	53.2967032967033	36.26373626373626	40.84249084249084
sl01g00024	43.47826086956522	54.34782608695652	35.869565217391305	40.21739130434783
sl01g00025	38.91680625348967	46.733668341708544	38.02345058626466	31.99329983249581
sl01g00026	33.795013850415515	42.93628808864266	30.74792243767313	27.700831024930746
sl01g00027	41.696113074204945	50.35335689045937	40.98939929328622	33.745583038869256
sl01g00028	44.58027709861451	58.19070904645477	40.34229828850856	35.2078239608802
sl01g00029	39.14246196403873	50.20746887966805	31.95020746887967	35.26970954356847
sl01g00030	39.83402489626556	48.13278008298755	32.780082987551864	38.58921161825726
sl01g00031	38.58921161825726	48.13278008298755	32.365145228215766	35.26970954356847
sl01g00032	37.52093802345058	44.221105527638194	33.66834170854271	34.67336683417086
sl01g00033	43.22169059011164	54.066985645933016	42.58373205741627	33.014354066985646
sl01g00034	43.659711075441415	57.142857142857146	39.48635634028892	34.34991974317817
sl01g00035	36.01651186790506	36.53250773993808	31.57894736842105	39.93808049535604
sl01g00036	44.78330658105939	53.93258426966292	39.64686998394863	40.77046548956661
sl01g00037	42.23918575063613	49.23664122137404	39.69465648854962	37.786259541984734
sl01g00038	33.236434108527135	40.98837209302326	32.848837209302324	25.872093023255815
sl01g00039	32.93532338308458	44.17910447761194	31.34328358208955	23.28358208955224
sl01g00040	42.38921001926782	48.554913294797686	28.32369942196532	50.28901734104046
